"ENTREZID","spearman.rho","spearman.FDR","pearson.cor","pearson.FDR"
"202052",-0.0632790824439803,0.270439998280641,-0.0563906116524409,0.371856740440426
"131118",0.277952211646139,1.62424352752969e-08,0.220811407094998,2.44776718996404e-05
"134218",0.0129452246775582,0.849672755356752,0.0317167804564498,0.644479460634953
"27000",-0.00471877112844492,0.946354739683231,0.0157383444917121,0.834704906982853
"79962",-0.0288551254766026,0.648394264036871,-0.00937820238941986,0.90650087562347
"120526",-0.0164641190580487,0.806860233813708,0.0384542928659118,0.566210765014925
"548645",0.143940065326428,0.00576829777284666,0.0660291025748549,0.282721936144928
"552891",0.0913961552956228,0.0960465334786565,0.13291347318652,0.016621979036787
"51277",0.101428026136205,0.0613762515667904,0.119776332120358,0.0332391969913965
"54943",0.102198086468023,0.0592004876196184,0.11188277718067,0.0488562934550194
"84277",0.0523804144664656,0.37233709234181,0.0245337913505261,0.730545309648533
"5611",-0.0941781756257823,0.0852644376673587,-0.0921805218908339,0.114793103062223
"3338",0.223906824625725,8.01296229546244e-06,0.191364859849093,0.000318424477688034
"80331",-0.199313106253706,8.30417521240658e-05,-0.135549943203105,0.0143820599668097
"85479",-0.166474750570265,0.00119807739275974,-0.110506517525147,0.0520731713814529
"285126",0.00268518039488355,0.970001464007097,0.0336962053382995,0.621828019526282
"9829",-0.0131648953739056,0.847593048315444,-0.0227934499122761,0.751465064218387
"7266",0.0727480100087193,0.19843748430952,0.0628925437114562,0.31110231646384
"22826",-0.0621521681008199,0.280133468342736,-0.0717599770792322,0.238114050390463
"23234",0.113988841829196,0.0329861035170602,0.0557081667758079,0.378663453827088
"83544",-0.0831109938859927,0.135108272193181,-0.119046877638151,0.0345083343611856
"10126",0.131663992856066,0.0123510755023619,0.0921682135618813,0.114852034632412
"7802",-0.157604359602407,0.002282304421311,-0.125129424171417,0.0251870524127588
"1773",0.157078029727891,0.00236492483417135,0.152128816281764,0.00535402768531356
"1774",0.0488081096041681,0.410101005392663,0.0127384690231646,0.869082798776212
"1775",0.0999842105948561,0.0658101016273272,-0.0434185428533789,0.508188888418844
"1776",-0.113166260998059,0.0343841916097441,-0.0623118071256217,0.316210321708934
"1777",-0.150743028256004,0.00367417198429908,-0.164202804258856,0.00238285944868151
"58511",-0.0659130886963379,0.249071119847599,-0.0195330996382062,0.789758164775326
"373863",0.0697932456586377,0.219167467979626,0.072581962603568,0.231825212009043
"92737",-0.0327490362092908,0.598656812157816,-0.0314442096234162,0.647692516068905
"144132",0.145138533437187,0.00533101352426308,0.133173235310078,0.0163933856516878
"728489",-0.0606751524353743,0.293035013686407,-0.0515366241515388,0.42062330999911
"1759",-0.176361472235183,0.000565176615287498,-0.163615598266577,0.00248138225923925
"10059",0.101881113788834,0.0600769651392666,0.162572828977702,0.00266601466499389
"100128285",0.0812283847413916,0.145427096090454,0.0910558317770303,0.119920626677473
"1785",-0.0728465448686077,0.197740659675462,-0.084767425342766,0.152593844685436
"26052",-0.174267979204843,0.000663587288400458,-0.0776451122306632,0.195726802840895
"23268",-0.0712859221407011,0.208553243367895,-0.113732695867264,0.0448164723668801
"1786",-0.188852083107386,0.000205608308937926,-0.176741477796023,0.000959367899520371
"1788",0.0363354673018683,0.554791264934516,0.057531415608165,0.361230820081639
"1789",0.119943547148976,0.0240037834765563,0.0642377403647731,0.298518231491559
"29947",0.0462421624108674,0.438693587646552,0.0622561179048317,0.316709863333602
"23549",-0.0151703801460163,0.823049629781343,-0.0655174819171408,0.287403826659286
"1791",-0.035802425269984,0.561382331302042,-0.0374902600914001,0.577061717595021
"116092",-0.189676790525837,0.00019241232861133,-0.172447706392687,0.00131797400916384
"30836",-0.0272200210430538,0.669574060636148,-0.024877622492414,0.72662932990371
"8448",0.0917400985695252,0.0946586086448965,0.112555233330895,0.0473707185986217
