GABPA_GSM803424	AUC = 0.615
TRIM25_GSM2098766	AUC = 0.615
CNOT3_GSM1617391	AUC = 0.614
SMARCA4_GSM1517754	AUC = 0.614
CTCF_GSM2759386	AUC = 0.614
TRIM28_GSM1467734	AUC = 0.614
RNF2_GSM585232	AUC = 0.613
EZH2_GSM1508944	AUC = 0.613
SMC3_GSM1081542	AUC = 0.613
CTCF_GSM2235690	AUC = 0.613
CTCF_GSM2235693	AUC = 0.613
GTF2I_GSM1539058	AUC = 0.612
BCL11A_GSM803476	AUC = 0.612
CTCF_GSM1910998	AUC = 0.612
SRF_GSM1505774	AUC = 0.612
BMI1_GSM838671	AUC = 0.612
CTCF_GSM646412	AUC = 0.611
CTCF_GSM733716	AUC = 0.611
TRIM25_GSM2098765	AUC = 0.611
CTCF_GSM2809614	AUC = 0.611
CTCF_GSM1817662	AUC = 0.611
CTCF_GSM325895	AUC = 0.610
ERG_GSM585604	AUC = 0.610
CTCF_GSM749670	AUC = 0.610
ZNF282_GSM2466515	AUC = 0.610
RBBP5_GSM831039	AUC = 0.609
RNF2_GSM585231	AUC = 0.609
CTCF_GSM646373	AUC = 0.609
E2F6_GSM1010899	AUC = 0.609
GTF2I_GSM1539060	AUC = 0.609
SP140_GSM2398965	AUC = 0.608
CTCF_GSM2235692	AUC = 0.608
BRD4_GSM2316299	AUC = 0.608
CTCF_GSM1224652	AUC = 0.608
CTCF_GSM1022637	AUC = 0.608
CTCF_GSM1022668	AUC = 0.608
NANOG_GSM1505702	AUC = 0.608
SMC1A_GSM560342	AUC = 0.608
ZNF282_GSM2466516	AUC = 0.608
H2AZ_GSM2702723	AUC = 0.607
SMC3_ENCSR000HPG_2	AUC = 0.607
CTCF_GSM1022657	AUC = 0.607
CTCF_GSM1463918	AUC = 0.607
CTCF_GSM1505621	AUC = 0.607
CTCF_GSM2439225	AUC = 0.606
CHD7_GSM1003473	AUC = 0.606
CHD7_GSM831027	AUC = 0.606
TET2_GSM1937510	AUC = 0.606
TFAP2A_GSM1817197	AUC = 0.606
CTCF_GSM1022626	AUC = 0.605
CTCF_GSM2493880	AUC = 0.605
CTCF_GSM803348	AUC = 0.605
CTCF_GSM1006873	AUC = 0.605
RAD21_GSM614628	AUC = 0.605
SMC1A_GSM2247251	AUC = 0.605
ESR1_GSM2664041	AUC = 0.604
SUMO1_GSM1012768	AUC = 0.604
CTCF_GSM1056577	AUC = 0.604
POLR3D_GSM2544232	AUC = 0.604
CTCF_GSM1022669	AUC = 0.604
SMARCA4_GSM1517753	AUC = 0.604
RUNX1_GSM2467011	AUC = 0.604
CTCF_GSM1022640	AUC = 0.604
CTCF_GSM1022665	AUC = 0.604
STAG1_GSM1233885	AUC = 0.604
RAD21_GSM935300	AUC = 0.603
NANOG_GSM1901445	AUC = 0.603
CTCF_GSM2026782	AUC = 0.603
HDAC2_GSM803345	AUC = 0.603
CTCF_GSM1055825	AUC = 0.603
CTCF_GSM1006885	AUC = 0.602
CTCF_GSM2599084	AUC = 0.602
NANOG_GSM456571	AUC = 0.602
ZEB1_GSM1574278	AUC = 0.602
