EP300_GSM1009628	AUC = 0.607
RUNX1T1_GSM585588	AUC = 0.607
HSF1_GSM951897	AUC = 0.606
IRF1_GSM2679940	AUC = 0.606
JUNB_GSM777638	AUC = 0.605
EP300_GSM2330559	AUC = 0.605
PTTG1_ENCSR314BBS_2	AUC = 0.605
RXRA_GSM2877303	AUC = 0.605
PTRF_ENCSR126FZN_1	AUC = 0.605
FOS_GSM935397	AUC = 0.605
HNF1B_GSM1574275	AUC = 0.605
ESR1_GSM542547	AUC = 0.605
LYL1_GSM1480747	AUC = 0.604
ARID1A_GSM2719737	AUC = 0.604
GATA2_GSM730701	AUC = 0.604
STAT3_GSM935457	AUC = 0.604
YAP1_GSM1542532	AUC = 0.603
EP300_GSM2550237	AUC = 0.603
CHD4_GSM2579161	AUC = 0.603
CEBPB_GSM2804466	AUC = 0.603
ILK_ENCSR648INT_2	AUC = 0.603
JUN_GSM935602	AUC = 0.603
NR2F2_GSM1126874	AUC = 0.603
FOS_GSM935396	AUC = 0.603
HNF4A_GSM1535710	AUC = 0.602
GATA3_GSM1844610	AUC = 0.602
RUNX1_GSM1113438	AUC = 0.602
ERG_GSM2394400	AUC = 0.602
TCF7L2_GSM1249449	AUC = 0.601
ATF3_GSM1917770	AUC = 0.601
SMC3_GSM2813841	AUC = 0.601
GATA6_GSM1505663	AUC = 0.601
PROX1_GSM1831048	AUC = 0.600
CEBPB_GSM2592799	AUC = 0.600
NR3C1_GSM2735381	AUC = 0.600
TCF12_GSM837987	AUC = 0.600
RELA_GSM486316	AUC = 0.600
PTTG1_ENCSR314BBS_1	AUC = 0.599
FOS_GSM935438	AUC = 0.599
JUN_GSM935468	AUC = 0.599
PR_GSM770758	AUC = 0.599
FAIRE_GSM1122847	AUC = 0.598
HNF4A_GSM1535696	AUC = 0.598
SMARCA4_GSM1856032	AUC = 0.598
TTF1_GSM1246716	AUC = 0.598
RXRG_GSM2695655	AUC = 0.598
GATA3_GSM1859075	AUC = 0.597
VDR_GSM934612	AUC = 0.597
RELA_GSM2419824	AUC = 0.597
PPARG_GSM2042858	AUC = 0.597
TCF7L1_GSM957607	AUC = 0.596
HNF1A_GSM1982474	AUC = 0.596
EP300_GSM1009632	AUC = 0.596
MITF_GSM1567047	AUC = 0.596
CREBBP_GSM525268	AUC = 0.596
HNF4A_GSM1535702	AUC = 0.596
LRWD1_GSM2144043	AUC = 0.596
SMARCA4_GSM1856034	AUC = 0.596
OTX2_GSM1567046	AUC = 0.596
CEBPB_GSM2871156	AUC = 0.595
CEBPB_GSM2592800	AUC = 0.595
DNMT3A_GSM1607392	AUC = 0.595
NR3C1_GSM1607528	AUC = 0.595
AR_GSM1308240	AUC = 0.595
GATA6_GSM1255511	AUC = 0.595
JUND_GSM1503220	AUC = 0.595
RAD21_GSM2809610	AUC = 0.594
HNF4A_GSM1535709	AUC = 0.594
GATA1_GSM2877122	AUC = 0.594
GATA3_GSM2817660	AUC = 0.594
FOXO1_GSM2214084	AUC = 0.594
REPIN1_GSM1141538	AUC = 0.594
TSC22D4_GSM2574798	AUC = 0.594
EP300_GSM2330557	AUC = 0.594
RELA_GSM1305212	AUC = 0.593
NKX2-1_GSM983102	AUC = 0.593
ZNF740_ENCSR532EMP_2	AUC = 0.592
PR_GSM770759	AUC = 0.591
LMO2_GSM1480745	AUC = 0.591
AR_GSM1308241	AUC = 0.591
DAXX_GSM1678029	AUC = 0.590
ESR1_GSM542548	AUC = 0.590
RELA_GSM1305211	AUC = 0.590
